Date mutation,valeur_fonciere,No voie,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Surface Carrez du 1er lot,Nombre pieces principales,Surface terrain
03/01/2022,104900.0,1090.0,BD,2320,JEANNE D ARC,59500.0,DOUAI,59,178,"97,63",5.0,
03/01/2022,104900.0,1090.0,BD,2320,JEANNE D ARC,59500.0,DOUAI,59,178,,4.0,
04/01/2022,77000.0,113.0,RUE,0287,ARTHUR RIMBAUD,59500.0,DOUAI,59,178,,3.0,
07/01/2022,160000.0,54.0,RUE,4310,VICTOR PECQUEUR,59500.0,DOUAI,59,178,,5.0,230.0
07/01/2022,160000.0,54.0,RUE,4310,VICTOR PECQUEUR,59500.0,DOUAI,59,178,,1.0,230.0
20/01/2022,1.0,4.0,RUE,1439,CHAMBRE DES COMPTES,59800.0,LILLE,59,350,,6.0,
19/01/2022,203000.0,132.0,RUE,6895,PIERRE MAUROY,59800.0,LILLE,59,350,"64,08",2.0,
12/01/2022,208000.0,39.0,RUE,5620,DE LA VIGNE,59100.0,ROUBAIX,59,512,"126,44",2.0,
19/01/2022,78500.0,28.0,RUE,6098,MEXICO,59000.0,LILLE,59,350,,3.0,
07/01/2022,65475.0,1425.0,AV,1290,LEON BLUM,59280.0,ARMENTIERES,59,17,"34,37",2.0,
05/01/2022,253000.0,4.0,RUE,0140,ARISTIDE BRIAND,59700.0,MARCQ EN BAROEUL,59,378,,3.0,
21/01/2022,254000.0,189.0,BD,2270,GAMBETTA,59100.0,ROUBAIX,59,512,"165,48",3.0,
13/01/2022,85000.0,29.0,RUE,4020,MOTTE,59200.0,TOURCOING,59,599,,2.0,
07/01/2022,200000.0,14.0,RUE,6894,PIERRE MARTEL,59800.0,LILLE,59,350,,3.0,
19/01/2022,181000.0,1.0,RUE,0565,DE FLANDRE,59110.0,LA MADELEINE,59,368,"63,50",3.0,
06/01/2022,215000.0,36.0,RUE,4722,JACQUEMARS GIELEE,59800.0,LILLE,59,350,,2.0,
10/01/2022,259900.0,43.0,RUE,2774,DE DOUAI,59000.0,LILLE,59,350,,3.0,
21/01/2022,135000.0,349.0,RUE,0450,DE LILLE,59520.0,MARQUETTE-LEZ-LILLE,59,386,,2.0,
12/01/2022,170000.0,10.0,RUE,7924,SAINT LUC,59800.0,LILLE,59,350,"60,81",3.0,
11/01/2022,186480.0,29.0,RUE,4456,HENRI DUNANT,59000.0,LILLE,59,350,,3.0,
05/01/2022,228800.0,108.0,AV,6774,DU PEUPLE BELGE,59800.0,LILLE,59,350,,2.0,
07/01/2022,255000.0,9.0,QUAI,6530,DE L OUEST,59000.0,LILLE,59,350,,3.0,
22/01/2022,61950.0,129.0,BD,2660,D HALLUIN,59200.0,TOURCOING,59,599,"41,00",2.0,
07/01/2022,110500.0,9.0,RUE,7189,DU PRIEZ,59800.0,LILLE,59,350,"16,08",1.0,
18/01/2022,61500.0,30.0,RUE,0550,LAVOISIER,59790.0,RONCHIN,59,507,,1.0,
18/01/2022,241240.0,171.0,RUE,8364,DE SOLFERINO,59000.0,LILLE,59,350,,3.0,
14/01/2022,196000.0,13.0,RUE,1050,OSWALD CRESPI,59130.0,LAMBERSART,59,328,,4.0,
17/01/2022,145000.0,209.0,RUE,9490,JEAN JAURES LOMME,59160.0,LILLE,59,350,,2.0,
